Date,Ball1,Ball2,Ball3,Ball4,Ball5,MegaBall
2017-10-31,6,28,31,52,53,12
2017-11-03,10,22,42,61,69,3
2017-11-07,1,54,60,68,69,11
2017-11-10,6,23,38,42,58,24
2017-11-14,1,14,21,22,28,19
2017-11-17,3,26,55,58,70,15
2017-11-21,3,7,22,27,50,3
2017-11-24,16,36,54,61,64,22
2017-11-28,10,17,47,51,61,5
2017-12-01,16,22,40,41,59,8
2017-12-05,14,15,37,42,67,22
2017-12-08,6,37,46,60,70,24
2017-12-12,8,23,24,25,27,9
2017-12-15,4,12,36,44,57,19
2017-12-19,28,37,39,42,58,2
2017-12-22,1,20,30,33,42,16
2017-12-26,10,12,20,38,41,25
2017-12-29,4,10,18,28,62,7
2018-01-02,1,42,47,64,70,22
2018-01-05,28,30,39,59,70,10
2018-01-09,16,29,31,65,67,23
2018-01-12,17,18,33,46,60,24
2018-01-16,3,11,23,29,59,18
2018-01-19,3,17,23,49,66,23
2018-01-23,2,6,30,31,55,7
2018-01-26,10,16,27,38,43,1
2018-01-30,29,41,42,49,57,24
2018-02-02,1,4,14,17,40,4
2018-02-06,14,17,25,48,58,25
2018-02-09,28,34,41,46,47,14
2018-02-13,5,12,15,46,49,1
2018-02-16,14,38,48,53,58,16
2018-02-20,17,19,23,24,43,14
2018-02-23,7,11,13,19,58,9
2018-02-27,10,17,21,38,43,23
2018-03-02,24,28,42,60,64,8
2018-03-06,1,4,26,35,39,22
2018-03-09,7,17,18,46,66,22
2018-03-13,6,30,58,60,61,17
2018-03-16,1,13,26,33,52,11
2018-03-20,14,38,51,64,70,9
2018-03-23,4,8,23,53,59,17
2018-03-27,7,25,43,56,59,13
2018-03-30,11,28,31,46,59,1
2018-04-03,4,29,39,42,62,14
2018-04-06,16,33,51,54,67,20
2018-04-10,5,13,31,43,53,20
2018-04-13,8,9,32,42,59,10
2018-04-17,12,34,44,47,65,22
2018-04-20,1,15,18,32,45,4
2018-04-24,3,19,31,32,48,10
2018-04-27,2,29,38,63,66,11
2018-05-01,2,7,20,55,70,1
2018-05-04,4,5,10,12,18,21
2018-05-08,8,15,39,64,67,13
2018-05-11,14,38,40,53,70,22
2018-05-15,21,34,44,49,61,21
2018-05-18,9,26,53,64,66,11
2018-05-22,16,17,21,36,48,9
2018-05-25,11,14,51,64,68,25
2018-05-29,2,11,55,58,67,2
2018-06-01,5,24,52,62,66,17
2018-06-05,22,33,41,48,52,4
2018-06-08,14,30,33,44,56,13
2018-06-12,1,3,5,8,70,3
2018-06-15,1,11,37,47,51,6
2018-06-19,11,13,28,65,70,14
2018-06-22,2,6,11,27,44,20
2018-06-26,17,25,29,39,60,19
2018-06-29,2,32,47,49,68,23
2018-07-03,13,35,45,49,68,23
2018-07-06,2,10,46,50,56,16
2018-07-10,1,17,28,56,70,14
2018-07-13,21,22,39,59,68,2
2018-07-17,40,41,61,66,67,12
2018-07-20,1,14,30,44,62,1
2018-07-24,1,2,4,19,29,20
2018-07-27,1,32,40,49,63,20
2018-07-31,12,15,35,64,69,9
2018-08-03,9,28,30,54,60,2
2018-08-07,2,13,15,21,62,2
2018-08-10,1,3,12,22,42,6
2018-08-14,11,26,44,45,46,11
2018-08-17,1,31,32,47,56,3
2018-08-21,14,16,19,38,57,11
2018-08-24,1,6,13,18,49,8
2018-08-28,3,20,33,34,41,20
2018-08-31,7,18,29,32,45,17
2018-09-04,2,7,25,35,44,3
2018-09-07,8,10,41,54,68,10
2018-09-11,15,30,51,62,67,19
2018-09-14,23,30,40,43,66,13
2018-09-18,31,32,43,63,68,17
2018-09-21,1,2,11,52,64,9
2018-09-25,8,16,32,48,61,12
2018-09-28,39,45,52,56,59,15
2018-10-02,2,22,29,31,34,1
2018-10-05,27,28,32,41,69,12
2018-10-09,20,22,39,54,60,18
2018-10-12,4,24,46,61,70,7
2018-10-16,3,45,49,61,69,9
2018-10-19,15,23,53,65,70,7
